Name,Class,Role,Tier,Score,Trend,Win_Percetage,Role_Percetage,Pick_Percetage,Ban_Percetage,KDA
Vi,Fighter,JUNGLE,S,64.92,0,0.5146999999999999,0.9569,0.0696,0.0255,2.52
Viego,Assassin,JUNGLE,A,51.85,0,0.4841,0.9172,0.0579,0.0206,2.37
Viktor,Mage,MID,A,51.61,0,0.5053,0.9508,0.051399999999999994,0.024399999999999998,2.32
Vladimir,Mage,MID,A,48.97,0,0.4988,0.7345,0.031400000000000004,0.039900000000000005,2.43
Volibear,Fighter,TOP,C,39.57,0,0.4803,0.5224,0.0175,0.0101,1.77
Warwick,Fighter,JUNGLE,A,49.11,0,0.49979999999999997,0.6153,0.0437,0.0655,2.12
Wukong,Fighter,JUNGLE,S,60.27,0,0.5174,0.8065000000000001,0.054900000000000004,0.0273,2.76
Xayah,Marksman,ADC,S,66.4,0,0.5245000000000001,0.9871,0.12269999999999999,0.0351,2.52
Xerath,Mage,SUPPORT,A,49.66,0,0.5038,0.7254999999999999,0.0364,0.0288,2.57
Xin Zhao,Fighter,JUNGLE,C,38.01,0,0.5015999999999999,0.8654000000000001,0.021099999999999997,0.0026,2.25
Yasuo,Fighter,MID,A,52.95,0,0.4836,0.6812999999999999,0.10060000000000001,0.17379999999999998,1.72
Yone,Assassin,MID,A,51.7,0,0.4985,0.6019,0.0725,0.0929,1.94
Yorick,Fighter,TOP,A,52.0,0,0.5149,0.9138,0.035,0.0345,1.57
Yuumi,Support,SUPPORT,B,43.74,0,0.4282,0.9811,0.0436,0.07719999999999999,3.64
Zac,Tank,JUNGLE,S,60.53,0,0.5051,0.7158,0.0466,0.151,3.36
Zed,Assassin,MID,S,58.1,0,0.49450000000000005,0.7556999999999999,0.0883,0.3282,2.29
Zeri,Marksman,ADC,A,51.14,0,0.5056,0.9578,0.0786,0.0294,2.52
Ziggs,Mage,MID,B,46.79,0,0.4966,0.5233,0.0143,0.0026,2.45
Zilean,Support,MID,A,51.2,0,0.5039,0.1258,0.0033,0.0105,3.47
Zoe,Mage,MID,A,50.38,0,0.502,0.872,0.0317,0.0168,2.65
Zyra,Mage,SUPPORT,A,50.27,0,0.5231,0.9187000000000001,0.034,0.021400000000000002,2.12
